"order_id","payment_sequential","payment_type","payment_installments","payment_value"
"85eef2d342b0de363c45c1bc324729c5",1.0,"credit_card",3.0,99.43
"aa964845f1de8125410aea8b73e9e1ec",1.0,"credit_card",2.0,27.35
"343348b1e29e9fa9e7b6ab1027f9177d",1.0,"credit_card",4.0,43.77
"ad4098a257676ea4d394fb3bbbf36ca3",1.0,"credit_card",2.0,68.49
"3e0c3cab458e8b3cc8d1d38ecb7e7775",1.0,"credit_card",2.0,105.53
"3ab4eea6776259ae8dfbabaeffece352",1.0,"credit_card",8.0,387.8
"10d9871bed9fb8d0887d3b9022edd1ff",1.0,"boleto",1.0,84.14
"c108072ab31ec90a754129c171577f5f",1.0,"credit_card",4.0,210.82
"fc662bafa52d2ef16078f6f6141009d6",1.0,"boleto",1.0,90.05
"4217849b1ff18a9270fe048eabc4dc45",1.0,"credit_card",1.0,67.88
"795c16acb4e3c30dfa5b6827727ef488",1.0,"credit_card",2.0,37.58
"55e2d723733c45033e71cb4d44690234",1.0,"boleto",1.0,89.63
"947e9c6bfd83a06953c420ef92d3da6e",1.0,"voucher",1.0,69.46
"60e43c5f5ba559d9dd19357ed72cb2f2",1.0,"credit_card",2.0,78.3
"e3e9e3295f4e1512167c232a0aaae8a5",1.0,"voucher",1.0,50.8
"460d57443ffdcaeba240360239747cf7",1.0,"credit_card",1.0,34.0
"4cb51127f19f7254b320efe1718477dd",1.0,"boleto",1.0,77.1
"110d9355d6338eab0a65a0cacdde5434",1.0,"credit_card",5.0,566.4
"42f5954cda381bd032934ee38c453711",1.0,"credit_card",8.0,402.42
"3689194c14ad4e2e7361ebd1df0e77b0",2.0,"voucher",1.0,57.53
"97c111c4f22dfa1089a9c0b5338dcc79",1.0,"credit_card",3.0,44.01
"4b2d035932915aa9c2a0d4d84cd6d3b0",1.0,"credit_card",3.0,187.51
"e1b4ee0e390fbac1dec439d72b45a115",1.0,"credit_card",3.0,77.7
"fee72a68ce935ebf2939fe72f27d3d9b",1.0,"credit_card",1.0,48.68
"4d3bfdf4c7d6578ea445d588371ae10e",1.0,"credit_card",1.0,77.29
"4c2e1a95586c815795a324d1599e7b5a",1.0,"credit_card",8.0,117.71
"c9f23db8a1cb725df9bdb3383bd72b38",1.0,"credit_card",3.0,169.34
"8e47a04b25d7a7075064e8e0bd2e0318",1.0,"credit_card",1.0,37.61
"723e462ce1ee50e024887c0b403130f3",1.0,"credit_card",1.0,13.8
"fa2ea4b6e84c1c0fc4f3a6d468c55183",1.0,"debit_card",1.0,227.12
"fb1a2a1296f822405a946cbdfc0d3ed6",1.0,"credit_card",3.0,34.78
"198298d54f269d8c5fe89e85a859af61",1.0,"credit_card",10.0,342.56
"b19ca559688b49e8cf7f88c1aa3f0009",1.0,"credit_card",7.0,73.34
"5be8d4719fe2e3669e2d07dddf3b6b0c",1.0,"credit_card",4.0,117.85
"4a02e985c7239d866a632f07ed20d9c0",1.0,"credit_card",1.0,48.62
"3e17eef8a8bd0131c7aed90d7508799e",1.0,"credit_card",1.0,53.99
"f8d323a2702fed37f0229965f7e9f8b3",1.0,"credit_card",1.0,51.14
"de4090fd9b7900d46323b0c7c36b7128",1.0,"credit_card",2.0,121.45
"17e5131fe1d4b1a8dc14d4a66914f9d7",1.0,"credit_card",1.0,73.34
"20f136d890c31a62486c809f91a5b098",1.0,"credit_card",10.0,117.68
"557cc2675910c4a6c9b54ad276f25097",1.0,"credit_card",1.0,56.77
"d60a89ab9bc1e68834465ae630c3343e",1.0,"credit_card",2.0,115.59
"3ba2d0012b1f34bc6ccbc31c4ba69f93",1.0,"credit_card",6.0,60.07
"d46f45b0d795bcf47a19d301710e63fe",1.0,"credit_card",1.0,27.27
